Target, Target start, Target end, Tag, Comment, CTS URN, IIIF Canvas path, Entity URI, Creator URI
Merops,17157,17163,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.830@Merops,/homer/VA/VA038VN-0540/canvas,,
Arisbe,17392,17398,,Commander: Asios,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.835@Arisbe,/homer/VA/VA038VN-0540/canvas,http://pleiades.stoa.org/places/501359,https://recogito.pelagios.org/chiara-p
Cromna,18337,18343,Paphlagonians,Commander: Pylaimenes,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.850@Cromna,/homer/VA/VA039RN-0040/canvas,http://pleiades.stoa.org/places/844994,https://recogito.pelagios.org/chiara-p
Talaimenes,18887,18897,,"Commanders: Chromis, Ennomos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.860@Talaimenes,/homer/VA/VA039RN-0040/canvas,,https://recogito.pelagios.org/chiara-p
Phocaeans,1650,1659,Phocaeans,40,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.515@Phocaeans,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/550823,https://recogito.pelagios.org/chiara-p
Pyrasus,10262,10269,Phylake,Commander: Podarkes,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.695@Pyrasus,/homer/VA/VA036VN-0538/canvas,http://pleiades.stoa.org/places/541081,https://recogito.pelagios.org/chiara-p
Mount Ida,16770,16779,Teleans,Commander: Pandaros,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.820@Mount Ida,/homer/VA/VA038VN-0540/canvas,http://sws.geonames.org/4122466,https://recogito.pelagios.org/chiara-p
thirty ships,12200,12212,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.730@thirty ships,/homer/VA/VA037RN-0038/canvas,,https://recogito.pelagios.org/chiara-p
Agamemnon,6212,6221,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.610@Agamemnon,/homer/VA/VA035RN-0036/canvas,,https://recogito.pelagios.org/chiara-p
Herakles,8376,8384,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.655@Herakles,/homer/VA/VA036RN-0037/canvas,,https://recogito.pelagios.org/chiara-p
Erythrae,879,887,Boeotians,"Commanders: Arkesilaos, Prothoenor, Klonios",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.495@Erythrae,/homer/VA/VA033VN-0535/canvas,http://pleiades.stoa.org/places/550535,https://recogito.pelagios.org/chiara-p
Ocalea,928,934,Boeotians,"Commanders: Arkesilaos, Prothoenor, Klonios",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.500@Ocalea,/homer/VA/VA033VN-0535/canvas,http://pleiades.stoa.org/places/540978,https://recogito.pelagios.org/chiara-p
Boeotians,1330,1339,Boeotians,"Commanders: Arkesilaos, Prothoenor, Klonios",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.510@Boeotians,/homer/VA/VA033VN-0535/canvas,http://pleiades.stoa.org/places/540689,https://recogito.pelagios.org/chiara-p
Oetylus,4852,4859,Laconians,Commander: Menelaos,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.585@Oetylus,/homer/VA/VA035RN-0036/canvas,http://pleiades.stoa.org/places/570527,https://recogito.pelagios.org/chiara-p
Cyparisseis,5258,5269,Pylos,Commander: Nestor,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.590@Cyparisseis,/homer/VA/VA035RN-0036/canvas,http://pleiades.stoa.org/places/570185,https://recogito.pelagios.org/chiara-p
Myrmidons,9682,9691,Myrmidons,Commander: Achilles,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680@Myrmidons,/homer/VA/VA036VN-0538/canvas,,https://recogito.pelagios.org/chiara-p
Askalaphos,1341,1351,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.510@Askalaphos,/homer/VA/VA033VN-0535/canvas,,https://recogito.pelagios.org/chiara-p
forty ships,11122,11133,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.710@forty ships,/homer/VA/VA036VN-0538/canvas,,https://recogito.pelagios.org/chiara-p
Menestheus,3408,3418,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.550@Menestheus,/homer/VA/VA034VN-0536/canvas,,https://recogito.pelagios.org/chiara-p
Atreus,4440,4446,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.575@Atreus,/homer/VA/VA034VN-0536/canvas,,https://recogito.pelagios.org/chiara-p
Ankaios,6101,6108,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.605@Ankaios,/homer/VA/VA035RN-0036/canvas,,https://recogito.pelagios.org/chiara-p
Protesilaos,10958,10969,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.705@Protesilaos,/homer/VA/VA036VN-0538/canvas,,https://recogito.pelagios.org/chiara-p
Eumelos,13789,13796,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.760@Eumelos,/homer/VA/VA034RN-0035/canvas,,https://recogito.pelagios.org/chiara-p
Peirithoos,12636,12646,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.740@Peirithoos,/homer/VA/VA037RN-0038/canvas,,https://recogito.pelagios.org/chiara-p
Azeus,1517,1522,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.510@Azeus,/homer/VA/VA033VN-0535/canvas,,https://recogito.pelagios.org/chiara-p
Harma,858,863,Boeotians,"Commanders: Arkesilaos, Prothoenor, Klonios",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.495@Harma,/homer/VA/VA033VN-0535/canvas,http://pleiades.stoa.org/places/579943,https://recogito.pelagios.org/chiara-p
Arne,1162,1166,Boeotians,"Commanders: Arkesilaos, Prothoenor, Klonios",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.505@Arne,/homer/VA/VA033VN-0535/canvas,http://pleiades.stoa.org/places/540663,https://recogito.pelagios.org/chiara-p
Anemorea,1852,1860,Phocaeans,"Commanders: Schedios, Epistrophos",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520@Anemorea,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/543626,https://recogito.pelagios.org/chiara-p
Aipy,5252,5256,Pylos,Commander: Nestor,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.590@Aipy,/homer/VA/VA035RN-0036/canvas,,https://recogito.pelagios.org/chiara-p
Hypereia,12269,12277,,Commander: Eurypylos,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.730@Hypereia,/homer/VA/VA037RN-0038/canvas,http://pleiades.stoa.org/places/573257,https://recogito.pelagios.org/chiara-p
Achaeans,9707,9715,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680@Achaeans,/homer/VA/VA036VN-0538/canvas,,https://recogito.pelagios.org/chiara-p
Crete,7962,7967,Cretans,Commander: Idomeneus,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.645@Crete,/homer/VA/VA035VN-0537/canvas,http://pleiades.stoa.org/places/589748,https://recogito.pelagios.org/chiara-p
Phthia,9624,9630,Myrmidons,Commander: Achilles,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680@Phthia,/homer/VA/VA036VN-0538/canvas,http://pleiades.stoa.org/places/541052,https://recogito.pelagios.org/chiara-p
Arcadia,5811,5818,Arcadians,60,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600@Arcadia,/homer/VA/VA035RN-0036/canvas,http://pleiades.stoa.org/places/570102,https://recogito.pelagios.org/chiara-p
Oechalia,12027,12035,,"Commanders: Asklepios, Podaleirios, Machaon",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.730@Oechalia,/homer/VA/VA037RN-0038/canvas,http://pleiades.stoa.org/places/540971,https://recogito.pelagios.org/chiara-p
Oloosson,12504,12512,,"Commanders: Polypoites, Leonteus",urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.735@Oloosson,/homer/VA/VA037RN-0038/canvas,http://pleiades.stoa.org/places/540981,https://recogito.pelagios.org/chiara-p
Ciconian,17965,17973,Ciconians,Commander: Euphemos,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.845@Ciconian,/homer/VA/VA039RN-0040/canvas,,https://recogito.pelagios.org/chiara-p
Perkote,17167,17174,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.830@Perkote,/homer/VA/VA038VN-0540/canvas,http://pleiades.stoa.org/places/501556,https://recogito.pelagios.org/chiara-p
fifty ships,3073,3084,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.545@fifty ships,/homer/VA/VA034RN-0035/canvas,,https://recogito.pelagios.org/chiara-p
forty ships,2506,2517,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.530@forty ships,/homer/VA/VA034RN-0035/canvas,,https://recogito.pelagios.org/chiara-p
forty ships,13529,13540,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.755@forty ships,/homer/VA/VA034RN-0035/canvas,,https://recogito.pelagios.org/chiara-p
Ajax,14013,14017,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.765@Ajax,/homer/VA/VA034RN-0035/canvas,,https://recogito.pelagios.org/chiara-p
Ajax,2113,2117,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.525@Ajax,/homer/VA/VA034RN-0035/canvas,,https://recogito.pelagios.org/chiara-p
Polyxenos,6762,6771,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.620@Polyxenos,/homer/VA/VA035VN-0537/canvas,,https://recogito.pelagios.org/chiara-p
Andraimon,7381,7390,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.635@Andraimon,/homer/VA/VA035VN-0537/canvas,,https://recogito.pelagios.org/chiara-p
seven ships,11512,11523,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.715@seven ships,/homer/VA/VA037RN-0038/canvas,,https://recogito.pelagios.org/chiara-p
Eurypylos,12362,12371,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.735@Eurypylos,/homer/VA/VA037RN-0038/canvas,,https://recogito.pelagios.org/chiara-p
ninety ships,5777,5789,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600@ninety ships,/homer/VA/VA035RN-0036/canvas,,https://recogito.pelagios.org/chiara-p
Herakles,9497,9505,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.675@Herakles,/homer/VA/VA036RN-0037/canvas,,https://recogito.pelagios.org/chiara-p
Ajax,3596,3600,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.555@Ajax,/homer/VA/VA034VN-0536/canvas,,https://recogito.pelagios.org/chiara-p
Menelaos,5018,5026,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.585@Menelaos,/homer/VA/VA035RN-0036/canvas,,https://recogito.pelagios.org/chiara-p
Pheidippos,9434,9444,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.675@Pheidippos,/homer/VA/VA036RN-0037/canvas,,https://recogito.pelagios.org/chiara-p
Kaineus,12888,12895,,,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.745@Kaineus,/homer/VA/VA034RN-0035/canvas,,https://recogito.pelagios.org/chiara-p
Tarphe,2439,2445,Locrians,Commander: Ajax Oileus,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.530@Tarphe,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/540958,https://recogito.pelagios.org/chiara-p
Cerinthus,2650,2659,Abantes,Commander: Elphenor,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.535@Cerinthus,/homer/VA/VA034RN-0035/canvas,http://pleiades.stoa.org/places/540861,https://recogito.pelagios.org/chiara-p
Corinth,4195,4202,Mycenaeans,Commander: Agamemnon,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.570@Corinth,/homer/VA/VA034VN-0536/canvas,http://pleiades.stoa.org/places/570182,https://recogito.pelagios.org/chiara-p
Aegium,4318,4324,Mycenaeans,Commander: Agamemnon,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.570@Aegium,/homer/VA/VA034VN-0536/canvas,http://sws.geonames.org/265500,https://recogito.pelagios.org/chiara-p
Enispe,6006,6012,Arcadians,Commander: Agapenor,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.605@Enispe,/homer/VA/VA035RN-0036/canvas,http://pleiades.stoa.org/places/573204,https://recogito.pelagios.org/chiara-p
Aetolians,7406,7415,Aetolians,Commander: Thoas,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.635@Aetolians,/homer/VA/VA035VN-0537/canvas,http://pleiades.stoa.org/places/540591,https://recogito.pelagios.org/chiara-p
Cleonae,4207,4214,Mycenaeans,Commander: Agamemnon,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.570@Cleonae,/homer/VA/VA034VN-0536/canvas,http://pleiades.stoa.org/places/570361,https://recogito.pelagios.org/chiara-p
Amyclae,4798,4805,Laconians,Commander: Menelaos,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.580@Amyclae,/homer/VA/VA035RN-0036/canvas,http://pleiades.stoa.org/places/438675,https://recogito.pelagios.org/chiara-p
Ithaca,7135,7141,Cephallenians,Commander: Odysseus,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.630@Ithaca,/homer/VA/VA035VN-0537/canvas,http://pleiades.stoa.org/places/530905,https://recogito.pelagios.org/chiara-p
